Year,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0,,
electricity (BTU),24871385283705.52,24871385283705.52,24931071451461.426,24777001943888.586,24667203018801.906,24561418990873.46,24493200017959.297,24448734097030.957,24504867486008.164,24587765934012.55,24793800289732.266,25030166721713.62,25346831900527.23,25689802794596.883,26045347176818.727,26422457449858.406,26625305154171.254,26840750907414.434,27038637264184.8,27241986651982.31,27437908739515.305,27635865197183.17,27638292712105.867,27640282175223.19,27648711727798.86,27656658192155.793,27641486011944.688,27625993830288.355,27641812629917.367,27657180877244.125,27680382600815.9,27702893306738.375,,
coal (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
natural gas (BTU),54863363867773.57,54863363867773.57,54863363867773.57,54912288412806.88,54972514021552.16,55051215424095.9,55161191186457.37,55317351301606.96,55516682336833.914,55745456852335.664,55990397867418.12,56260624462839.15,56554551133336.625,56856574076434.98,57159798145553.95,57475549574954.79,57803436429204.67,58137453129179.375,58471282715222.68,58806505679948.695,59142008406797.48,59476292607368.2,59287769164285.57,59096539230758.48,58904004043546.41,58711363242875.27,58519384576267.41,58328205755030.22,58138490578444.2,57950090665754.266,57763143533945.555,57577545431754.16,,
petroleum diesel (BTU),2260512592.963395,2260512592.963395,2260512592.963395,2166017342.6390443,2087095708.721082,2023087124.526165,1973151835.8628604,1936561897.3330648,1911549341.9263096,1895901429.929917,1887383831.150938,1884778959.0246134,1886704589.557621,1891481950.6609294,1897964780.588615,1905995634.7642918,1915128695.9080775,1924869547.2783577,1934750067.0785103,1944743462.9572241,1954791034.498649,1964829730.5261943,1958152971.7340865,1951423206.0854695,1944693553.2646668,1938008341.3289154,1931395503.3389149,1924851290.727055,1918396670.268423,1912021754.6675448,1905725416.5566046,1899502124.9265096,,
heat (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
biomass (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
kerosene (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
heavy or residual fuel oil (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
LPG propane or butane (BTU),2498181463076.271,2498181463076.271,2498181463076.271,2449432648723.298,2411209690755.2236,2382543070573.834,2362437971365.659,2350122106836.9053,2344255255900.6655,2343282447702.63,2345740635958.583,2351315236620.165,2359324712833.9194,2368607428409.299,2378467866553.0176,2389086922949.5977,2400306750205.0063,2411850108691.137,2423423576576.2324,2435106317213.712,2446861048125.739,2458640345748.3735,2451374935240.469,2443942800005.9243,2436396955963.1953,2428785320163.774,2421140267266.415,2413477964513.7373,2405828427003.6475,2398192271560.79,2390582646102.6567,2383001550607.279,,
hydrogen (BTU),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
