Unit: BTU,2021.0,2022.0,2023.0,2024.0,2025.0,2026.0,2027.0,2028.0,2029.0,2030.0,2031.0,2032.0,2033.0,2034.0,2035.0,2036.0,2037.0,2038.0,2039.0,2040.0,2041.0,2042.0,2043.0,2044.0,2045.0,2046.0,2047.0,2048.0,2049.0,2050.0
agriculture and forestry 01T03,2436553395490.7983,2436553395490.7983,2450427247242.1914,2505040786315.0845,2516445071069.2476,2536720329199.855,2561578384255.6763,2582698098846.8257,2598835440448.154,2613669782884.163,2625599192694.9624,2637310328126.2925,2652049498974.9966,2669731371995.133,2684642219417.583,2698577292440.9243,2710945813344.5347,2728236306474.449,2744909066155.665,2761156973720.989,2777676450083.9756,2793324933500.4717,2809980608063.118,2826045512663.908,2840724424413.489,2855741430758.6123,2870330752011.5986,2884763450511.9976,2898777328211.6763,2913012374476.203
coal mining 05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oil and gas extraction 06,122368536203.84604,122368536203.84604,130027828866.56502,129787921809.91823,129261350996.44223,129721997382.33774,131001787520.68692,130764895855.4242,131245481592.70886,130804943545.66562,131049727737.52396,131172823419.72845,131955533826.79012,133031194468.15636,133702976265.74138,134042907272.63846,134514394748.08542,135062207951.45773,135195266531.85248,135586709289.58716,135300240082.77373,135128018949.93292,135377445849.24786,135929937718.0943,136490366962.28987,136377081315.33264,136703067512.2099,136420440600.35031,136894091127.86496,137558325933.66727
other mining and quarrying 07T08,682072246599.3008,682072246599.3008,696780246304.6823,702556531586.1938,688756909951.756,681114556078.4403,668853516355.278,654582933391.6733,646532295621.6028,643037782655.7019,638543807798.2144,633131704342.4248,630015386951.086,628047462803.076,625010425746.5216,624973140393.8092,626499208925.8434,630360207897.519,635067712085.569,641449933894.5205,647479885238.0382,654105287242.351,660460427055.4565,671604176233.3104,682005381009.1238,691783544328.445,700343178450.0001,704878796844.8972,707635174740.4327,712708890734.6151
food beverage and tobacco 10T12,6812090168724.649,6812090168724.649,7142843896945.452,7185427779274.747,7114128046497.432,7093476463236.141,7106299786168.855,7143959400846.36,7186216090411.47,7223538503968.748,7251482546858.811,7285193152040.942,7316198622788.32,7343026878268.931,7392637343967.554,7458902099367.786,7501506526945.586,7544106887323.412,7597053449528.611,7630336074208.414,7692480919587.563,7750643190831.923,7812879168506.487,7870735361688.009,7924425905521.331,7993244672847.875,8130121139596.166,8195486112827.158,8257645605653.278,8318905865140.737
textiles apparel and leather 13T15,84777716034.87845,84777716034.87845,89707929909.43906,88024265060.27762,87001645529.3404,86366800808.31151,86445465634.46208,86939605191.45781,87488690452.28963,87899012510.41338,88059482926.7447,88208726425.78252,88621487263.95792,89032635436.84549,89699562642.16124,90586585988.19987,91141131509.17604,91796331460.39159,92629260284.6363,93129554504.89108,94165435172.34961,95254986905.19597,96354198956.76253,97398265681.63574,98360693155.91164,99490277075.97493,101485638699.81242,102703467773.18636,103794399021.31009,104755200418.21745
wood products 16,847114491904.2816,847114491904.2816,857889640050.4044,834665812242.8018,818702830641.4923,832180688589.7557,836052913676.8685,842766806672.2137,857543703161.6444,871364472999.039,874467148835.3286,877507041015.7607,886451279272.0139,896015535606.6364,907043346063.6849,911551714143.031,905791609987.6052,909373399485.1914,911710236976.5123,915033517819.3492,922424163146.0778,933615908326.526,942743489208.661,946439879568.0945,947231693848.5468,948727758143.966,953216751671.2628,958026526896.9236,960662221407.3018,963450607347.6322
pulp paper and printing 17T18,4683721265152.363,4683721265152.363,4792082330501.018,4746535615822.854,4633170499637.477,4621748368026.454,4600234975094.918,4584809198107.084,4566969319556.378,4544158549037.424,4516142574718.264,4497585188069.463,4488863497302.16,4481582316088.535,4487285673150.778,4502314032190.6045,4506500151138.826,4514593407719.477,4523521483683.299,4530321365855.243,4547394087373.155,4565454400260.0625,4588627930597.44,4609340675566.962,4623688421425.125,4637780012171.358,4671599131777.73,4701561401268.611,4718659876238.915,4737580800778.604
refined petroleum and coke 19,1662426641250.2925,1662426641250.2925,1662426641250.2925,1619132382797.3035,1645725511725.7576,1643832065495.0989,1647903353652.3582,1642854887449.9792,1672542699151.0452,1695818976727.0376,1720679867033.411,1707064486200.9475,1707444220230.7944,1699054541601.8555,1719398285008.9006,1715201391945.4946,1717837859790.8171,1716830842284.2473,1724889275161.3208,1733802808126.3518,1736041849861.6877,1743545805447.285,1746363527367.1814,1743380777178.1384,1748349128106.0796,1754513008232.8784,1775575508559.2273,1781659866812.751,1796854921002.7954,1806771876660.8337
